gene_id,gene_name,n_alu_plus,n_alu_minus,te_median_alu_plus,te_median_alu_minus,diff
ENSG00000074800,ENO1,1,9,1.86505,2.11585,-0.2508
ENSG00000075089,ACTR6,2,7,4.77115,4.92986,-0.158705
ENSG00000075131,TIPIN,2,3,2.95177,3.02953,-0.0777575
ENSG00000075142,SRI,1,5,4.56372,2.29565,2.26807
ENSG00000075151,EIF4G3,1,17,1.50296,1.31872,0.184241
ENSG00000075188,NUP37,1,4,7.80988,5.9169,1.89298
ENSG00000075234,TTC38,1,5,0.730161,0.921056,-0.190895
ENSG00000075239,ACAT1,3,9,6.73054,5.63647,1.09407
ENSG00000075303,SLC25A40,1,3,1.75106,2.16459,-0.413536
ENSG00000075336,TIMM21,2,1,8.97812,2.38389,6.59422
ENSG00000075340,ADD2,1,10,0.254026,0.529703,-0.275677
ENSG00000075391,RASAL2,1,5,1.66188,1.08229,0.579588
ENSG00000075415,SLC25A3,3,8,7.38655,1.43014,5.95641
ENSG00000075420,FNDC3B,2,4,1.30807,1.44905,-0.140982
ENSG00000075624,ACTB,2,15,1.92514,1.02797,0.897164
ENSG00000075785,RAB7A,1,14,2.96812,3.42801,-0.459885
ENSG00000076242,MLH1,3,23,2.71497,2.42402,0.290955
ENSG00000076248,UNG,5,8,3.04137,1.64145,1.39993
ENSG00000076351,SLC46A1,2,4,1.91881,1.30543,0.613378
ENSG00000076554,TPD52,3,10,3.85372,2.43379,1.41993
ENSG00000076685,NT5C2,15,5,2.87336,2.07281,0.800549
ENSG00000077254,USP33,4,5,2.33404,2.30837,0.0256725
ENSG00000077312,SNRPA,1,6,2.07316,1.97835,0.0948115
ENSG00000077549,CAPZB,4,5,9.00241,3.53683,5.46558
ENSG00000077684,JADE1,1,12,0.592256,0.861565,-0.269309
ENSG00000077721,UBE2A,1,9,2.24368,3.47744,-1.23376
ENSG00000078043,PIAS2,2,5,1.45259,1.06882,0.383771
ENSG00000078070,MCCC1,1,9,3.06279,0.868176,2.19462
ENSG00000078142,PIK3C3,3,3,6.39923,3.1854,3.21383
ENSG00000078177,N4BP2,3,1,2.25243,1.63221,0.620218
ENSG00000078269,SYNJ2,2,5,0.963535,0.534115,0.42942
ENSG00000078304,PPP2R5C,2,16,0.679474,1.09091,-0.41144
ENSG00000078369,GNB1,1,5,0.763077,1.41819,-0.655114
ENSG00000078674,PCM1,1,6,2.89371,2.49051,0.403208
ENSG00000078699,CBFA2T2,7,1,1.15258,0.974117,0.178466
ENSG00000078967,UBE2D4,1,2,0.504147,1.12919,-0.625046
ENSG00000079156,OSBPL6,1,6,1.33393,0.849082,0.484843
ENSG00000079246,XRCC5,1,3,5.23583,4.71712,0.518707
ENSG00000079257,LXN,1,1,2.8239,4.20022,-1.37631
ENSG00000079277,MKNK1,3,13,1.81323,2.15224,-0.339015
ENSG00000079332,SAR1A,3,3,4.86216,2.20217,2.65998
ENSG00000079387,SENP1,2,3,1.22776,1.13614,0.0916195
ENSG00000079616,KIF22,1,20,1.84353,2.06402,-0.220493
ENSG00000079739,PGM1,1,3,1.4412,1.5132,-0.072006
ENSG00000079785,DDX1,1,15,6.91946,5.20867,1.71079
ENSG00000079950,STX7,1,1,11.7701,3.55816,8.21195
ENSG00000080189,SLC35C2,2,5,0.94112,0.498802,0.442318
ENSG00000080345,RIF1,2,5,2.4888,2.32149,0.167311
ENSG00000080603,SRCAP,1,2,0.152859,0.43198,-0.27912
ENSG00000080802,CNOT4,1,6,1.29967,1.24772,0.0519565
ENSG00000080824,HSP90AA1,1,5,2.68713,2.14769,0.539435
ENSG00000080839,RBL1,1,3,1.31619,1.35653,-0.040341
ENSG00000080986,NDC80,2,2,3.61045,5.53811,-1.92766
ENSG00000081014,AP4E1,2,3,1.29806,1.08449,0.213575
ENSG00000081026,MAGI3,1,3,0.721787,0.613173,0.108614
ENSG00000081059,TCF7,4,3,0.684214,0.730891,-0.0466775
ENSG00000081307,UBA5,2,8,4.50422,3.1467,1.35752
ENSG00000081320,STK17B,3,2,1.43557,1.82042,-0.384853
ENSG00000081721,DUSP12,1,3,1.28041,0.927393,0.353014
ENSG00000081870,IFT25,1,3,3.06723,6.27473,-3.20751
ENSG00000082153,BZW1,1,7,1.1711,2.20765,-1.03654
ENSG00000082212,ME2,3,12,3.71335,2.08685,1.6265
ENSG00000082213,C5orf22,2,4,3.87885,1.82668,2.05217
ENSG00000082269,FAM135A,2,6,0.849524,0.844658,0.004866
ENSG00000082397,EPB41L3,1,24,2.26165,1.35959,0.902061
ENSG00000082512,TRAF5,2,1,1.57317,1.46508,0.108082
ENSG00000082701,GSK3B,1,44,3.55249,1.30969,2.24279
ENSG00000082781,ITGB5,1,7,0.550278,0.423949,0.126329
ENSG00000082805,ERC1,10,8,1.13373,1.55974,-0.426011
ENSG00000082898,XPO1,12,25,2.65033,2.75094,-0.10061
ENSG00000083093,PALB2,3,8,0.96861,0.947048,0.021562
ENSG00000083099,LYRM2,2,2,3.32142,11.5333,-8.21187
ENSG00000083123,BCKDHB,1,2,2.40795,1.97318,0.434771
ENSG00000083168,KAT6A,1,7,1.04548,0.613703,0.431778
ENSG00000083312,TNPO1,1,8,2.74914,2.03493,0.714215
ENSG00000083520,DIS3,2,2,6.16813,3.42969,2.73844
ENSG00000083544,TDRD3,1,6,1.30305,1.02437,0.27868
ENSG00000083799,CYLD,1,9,0.824542,0.696692,0.12785
ENSG00000083807,SLC27A5,1,1,0.570158,0.778039,-0.207881
ENSG00000083844,ZNF264,1,3,0.651982,0.571472,0.08051
ENSG00000083896,YTHDC1,1,5,4.62055,2.62611,1.99443
ENSG00000083937,CHMP2B,2,3,4.81974,6.07056,-1.25082
ENSG00000084072,PPIE,2,8,6.15322,2.45053,3.70269
ENSG00000084073,ZMPSTE24,1,3,1.75023,4.03949,-2.28926
ENSG00000084090,STARD7,1,1,0.790977,1.00889,-0.217917
ENSG00000084093,REST,1,10,1.00574,1.33242,-0.326682
ENSG00000084444,FAM234B,1,2,0.907436,1.80549,-0.898058
ENSG00000084463,WBP11,1,2,1.55333,0.9983,0.555032
ENSG00000084623,EIF3I,32,2,2.47714,1.58158,0.895559
ENSG00000084754,HADHA,2,7,1.49391,2.11024,-0.616321
ENSG00000085231,AK6,1,4,5.33602,4.13276,1.20326
ENSG00000085274,MYNN,2,3,3.2572,2.43053,0.82666
ENSG00000085365,SCAMP1,1,5,3.02655,2.2829,0.743644
ENSG00000085377,PREP,1,2,4.87813,2.61588,2.26225
ENSG00000085382,HACE1,1,7,0.824029,1.31153,-0.487506
ENSG00000085433,WDR47,1,7,1.1338,1.44982,-0.316026
ENSG00000085719,CPNE3,2,6,4.90859,2.92178,1.98681
ENSG00000085760,MTIF2,1,9,3.0723,2.07958,0.992716
ENSG00000085871,MGST2,1,3,11.1821,4.1788,7.00329
ENSG00000086062,B4GALT1,1,1,1.44192,1.04741,0.394511
ENSG00000086102,NFX1,1,1,1.04619,0.995849,0.050346
ENSG00000086189,DIMT1,2,9,3.95607,3.90448,0.0515865
ENSG00000086232,EIF2AK1,1,3,0.456492,1.14568,-0.68919
ENSG00000086504,MRPL28,2,4,3.48405,2.4963,0.987758
ENSG00000086598,TMED2,1,2,3.53287,1.48413,2.04875
ENSG00000086666,ZFAND6,2,19,3.9513,2.15804,1.79327
ENSG00000087077,TRIP6,1,4,1.20162,0.89526,0.306361
ENSG00000087088,BAX,2,6,0.865448,0.941265,-0.0758165
ENSG00000087157,PGS1,1,9,0.774524,0.985478,-0.210954
ENSG00000087206,UIMC1,1,7,2.75347,0.985014,1.76846
ENSG00000087253,LPCAT2,1,1,5.03618,1.35654,3.67963
ENSG00000087263,OGFOD1,2,5,2.0437,2.1046,-0.060903
ENSG00000087269,NOP14,3,1,1.13075,1.41965,-0.288908
ENSG00000087274,ADD1,1,14,1.17044,1.16277,0.0076655
ENSG00000087299,L2HGDH,2,4,1.77016,1.70442,0.0657435
ENSG00000087302,RTRAF,1,3,17.1745,1.92078,15.2538
ENSG00000087448,KLHL42,1,2,1.29049,1.55245,-0.261957
ENSG00000087470,DNM1L,11,9,3.45611,2.42901,1.0271
ENSG00000087502,ERGIC2,2,8,2.22004,1.91607,0.303967
ENSG00000087586,AURKA,9,4,1.26264,1.23846,0.024179
ENSG00000087884,AAMDC,1,4,2.57593,4.53263,-1.9567
ENSG00000088179,PTPN4,2,4,0.755784,0.448849,0.306935
ENSG00000088256,GNA11,1,2,0.421066,0.804869,-0.383803
ENSG00000088325,TPX2,1,1,1.61783,1.63385,-0.016014
ENSG00000088766,CRLS1,2,1,2.61328,1.65604,0.957241
ENSG00000088808,PPP1R13B,1,6,0.733854,1.0463,-0.312441
